essay_index,total_words,total_conjunctions,total_clauses,parataxis,hypotaxis,ratio_parataxis,ratio_hypotaxis,Elaboration,Extension,Enhancement,corpus
472,90,10,14,4,9,0.2857,0.6429,4,2,4,GiG
1207,35,0,2,0,0,0.0,0.0,0,0,0,GiG
2392,528,31,63,17,27,0.2698,0.4286,7,9,15,GiG
2790,221,16,28,12,10,0.4286,0.3571,3,9,4,GiG
2895,65,0,2,0,1,0.0,0.5,0,0,0,GiG
1272,27,1,3,1,0,0.3333,0.0,0,0,1,GiG
2490,217,28,41,8,24,0.1951,0.5854,4,6,18,GiG
2319,569,52,79,37,21,0.4684,0.2658,10,21,21,GiG
1069,717,72,141,77,36,0.5461,0.2553,3,34,35,GiG
1269,24,0,2,0,0,0.0,0.0,0,0,0,GiG
2793,382,29,56,20,24,0.3571,0.4286,0,8,21,GiG
1602,326,24,59,28,12,0.4746,0.2034,0,19,5,GiG
369,422,39,73,26,26,0.3562,0.3562,4,13,22,GiG
1765,83,7,16,12,0,0.75,0.0,0,6,1,GiG
818,82,7,14,10,0,0.7143,0.0,0,4,3,GiG
782,112,13,14,9,4,0.6429,0.2857,0,8,5,GiG
499,330,42,81,39,15,0.4815,0.1852,1,26,15,GiG
240,256,26,49,31,11,0.6327,0.2245,2,17,7,GiG
332,407,34,94,41,18,0.4362,0.1915,0,16,18,GiG
839,176,16,24,17,1,0.7083,0.0417,0,7,9,GiG
587,382,37,75,31,26,0.4133,0.3467,6,19,12,IELTS
1299,350,41,71,21,27,0.2958,0.3803,7,14,20,IELTS
9109,361,40,78,29,23,0.3718,0.2949,6,20,14,IELTS
3376,329,35,69,24,24,0.3478,0.3478,12,10,13,IELTS
2023,281,32,47,14,18,0.2979,0.383,3,8,21,IELTS
7918,311,26,55,12,17,0.2182,0.3091,4,8,14,IELTS
5602,274,30,44,19,14,0.4318,0.3182,2,12,16,IELTS
966,363,26,95,39,15,0.4105,0.1579,3,16,7,IELTS
621,321,29,54,14,21,0.2593,0.3889,2,6,21,IELTS
5165,340,31,52,20,24,0.3846,0.4615,5,12,14,IELTS
2778,392,31,66,28,17,0.4242,0.2576,4,16,11,IELTS
4935,312,35,60,20,16,0.3333,0.2667,4,10,21,IELTS
8125,278,26,60,21,17,0.35,0.2833,1,11,14,IELTS
1878,312,31,58,26,21,0.4483,0.3621,2,17,12,IELTS
1150,416,41,65,22,27,0.3385,0.4154,10,15,16,IELTS
89,331,28,46,18,14,0.3913,0.3043,6,8,14,IELTS
6752,375,30,68,31,15,0.4559,0.2206,1,15,14,IELTS
4861,296,24,43,24,8,0.5581,0.186,4,15,5,IELTS
7741,397,30,59,15,24,0.2542,0.4068,4,8,18,IELTS
1916,323,38,75,27,16,0.36,0.2133,6,14,18,IELTS
56385,48,3,10,4,0,0.4,0.0,0,3,0,EFCAMDAT
307922,68,4,18,6,2,0.3333,0.1111,0,3,1,EFCAMDAT
3941,30,1,3,2,0,0.6667,0.0,0,1,0,EFCAMDAT
393758,146,10,25,10,3,0.4,0.12,1,6,3,EFCAMDAT
296476,85,5,13,2,5,0.1538,0.3846,0,1,4,EFCAMDAT
316561,70,7,8,6,1,0.75,0.125,1,6,0,EFCAMDAT
94612,27,3,18,9,0,0.5,0.0,0,3,0,EFCAMDAT
311755,79,6,18,12,0,0.6667,0.0,0,5,1,EFCAMDAT
203529,56,5,10,4,4,0.4,0.4,3,2,0,EFCAMDAT
248644,94,11,23,17,0,0.7391,0.0,0,11,0,EFCAMDAT
85893,30,0,8,0,0,0.0,0.0,0,0,0,EFCAMDAT
284255,68,3,12,4,2,0.3333,0.1667,0,2,1,EFCAMDAT
100569,63,3,8,6,0,0.75,0.0,0,3,0,EFCAMDAT
290853,66,4,10,3,1,0.3,0.1,2,1,1,EFCAMDAT
267340,89,5,31,17,1,0.5484,0.0323,0,3,2,EFCAMDAT
298908,106,14,25,17,2,0.68,0.08,0,10,4,EFCAMDAT
380282,77,11,20,12,3,0.6,0.15,1,6,4,EFCAMDAT
151287,34,3,5,4,0,0.8,0.0,0,2,1,EFCAMDAT
21852,22,2,3,0,1,0.0,0.3333,0,1,1,EFCAMDAT
207817,89,7,23,8,4,0.3478,0.1739,0,3,4,EFCAMDAT
