essay_index,total_words,total_conjunctions,total_clauses,parataxis,hypotaxis,ratio_parataxis,ratio_hypotaxis,Elaboration,Extension,Enhancement,corpus
56385,48,3,10,4,0,0.4,0.0,0,3,0,EFCAMDAT
307922,68,4,18,6,2,0.3333,0.1111,0,3,1,EFCAMDAT
3941,30,1,3,2,0,0.6667,0.0,0,1,0,EFCAMDAT
393758,146,10,25,10,3,0.4,0.12,1,6,3,EFCAMDAT
296476,85,5,13,2,5,0.1538,0.3846,0,1,4,EFCAMDAT
316561,70,7,8,6,1,0.75,0.125,1,6,0,EFCAMDAT
94612,27,3,18,9,0,0.5,0.0,0,3,0,EFCAMDAT
311755,79,6,18,12,0,0.6667,0.0,0,5,1,EFCAMDAT
203529,56,5,10,4,4,0.4,0.4,3,2,0,EFCAMDAT
248644,94,11,23,17,0,0.7391,0.0,0,11,0,EFCAMDAT
85893,30,0,8,0,0,0.0,0.0,0,0,0,EFCAMDAT
284255,68,3,12,4,2,0.3333,0.1667,0,2,1,EFCAMDAT
100569,63,3,8,6,0,0.75,0.0,0,3,0,EFCAMDAT
290853,66,4,10,3,1,0.3,0.1,2,1,1,EFCAMDAT
267340,89,5,31,17,1,0.5484,0.0323,0,3,2,EFCAMDAT
298908,106,14,25,17,2,0.68,0.08,0,10,4,EFCAMDAT
380282,77,11,20,12,3,0.6,0.15,1,6,4,EFCAMDAT
151287,34,3,5,4,0,0.8,0.0,0,2,1,EFCAMDAT
21852,22,2,3,0,1,0.0,0.3333,0,1,1,EFCAMDAT
207817,89,7,23,8,4,0.3478,0.1739,0,3,4,EFCAMDAT
