essay_index,total_words,total_conjunctions,total_clauses,parataxis,hypotaxis,ratio_parataxis,ratio_hypotaxis,Elaboration,Extension,Enhancement,corpus
472,90,10,14,4,9,0.2857,0.6429,4,2,4,GiG
1207,35,0,2,0,0,0.0,0.0,0,0,0,GiG
2392,528,31,63,17,27,0.2698,0.4286,7,9,15,GiG
2790,221,16,28,12,10,0.4286,0.3571,3,9,4,GiG
2895,65,0,2,0,1,0.0,0.5,0,0,0,GiG
1272,27,1,3,1,0,0.3333,0.0,0,0,1,GiG
2490,217,28,41,8,24,0.1951,0.5854,4,6,18,GiG
2319,569,52,79,37,21,0.4684,0.2658,10,21,21,GiG
1069,717,72,141,77,36,0.5461,0.2553,3,34,35,GiG
1269,24,0,2,0,0,0.0,0.0,0,0,0,GiG
2793,382,29,56,20,24,0.3571,0.4286,0,8,21,GiG
1602,326,24,59,28,12,0.4746,0.2034,0,19,5,GiG
369,422,39,73,26,26,0.3562,0.3562,4,13,22,GiG
1765,83,7,16,12,0,0.75,0.0,0,6,1,GiG
818,82,7,14,10,0,0.7143,0.0,0,4,3,GiG
782,112,13,14,9,4,0.6429,0.2857,0,8,5,GiG
499,330,42,81,39,15,0.4815,0.1852,1,26,15,GiG
240,256,26,49,31,11,0.6327,0.2245,2,17,7,GiG
332,407,34,94,41,18,0.4362,0.1915,0,16,18,GiG
839,176,16,24,17,1,0.7083,0.0417,0,7,9,GiG
