essay_index,total_words,total_conjunctions,total_clauses,parataxis,hypotaxis,ratio_parataxis,ratio_hypotaxis,Elaboration,Extension,Enhancement,corpus
587,382,37,75,31,26,0.4133,0.3467,6,19,12,IELTS
1299,350,41,71,21,27,0.2958,0.3803,7,14,20,IELTS
9109,361,40,78,29,23,0.3718,0.2949,6,20,14,IELTS
3376,329,35,69,24,24,0.3478,0.3478,12,10,13,IELTS
2023,281,32,47,14,18,0.2979,0.383,3,8,21,IELTS
7918,311,26,55,12,17,0.2182,0.3091,4,8,14,IELTS
5602,274,30,44,19,14,0.4318,0.3182,2,12,16,IELTS
966,363,26,95,39,15,0.4105,0.1579,3,16,7,IELTS
621,321,29,54,14,21,0.2593,0.3889,2,6,21,IELTS
5165,340,31,52,20,24,0.3846,0.4615,5,12,14,IELTS
2778,392,31,66,28,17,0.4242,0.2576,4,16,11,IELTS
4935,312,35,60,20,16,0.3333,0.2667,4,10,21,IELTS
8125,278,26,60,21,17,0.35,0.2833,1,11,14,IELTS
1878,312,31,58,26,21,0.4483,0.3621,2,17,12,IELTS
1150,416,41,65,22,27,0.3385,0.4154,10,15,16,IELTS
89,331,28,46,18,14,0.3913,0.3043,6,8,14,IELTS
6752,375,30,68,31,15,0.4559,0.2206,1,15,14,IELTS
4861,296,24,43,24,8,0.5581,0.186,4,15,5,IELTS
7741,397,30,59,15,24,0.2542,0.4068,4,8,18,IELTS
1916,323,38,75,27,16,0.36,0.2133,6,14,18,IELTS
